corp_code,corp_name,corp_eng_name,stock_code
00246347,태창파로스,"TAECHANG PHAROS.,Ltd.",039850
00599230,평산차업집단유한공사,PING SHAN TEA GROUP LIMITED,950010
00970277,스탠다드펌,"Standard Firm Co., Ltd.",179280
00122922,벽산건설,"BYUCKSAN ENGINEERING & CONSTRUCTION CO.,LTD",002530
00116860,NH농협증권,"NH INVESTMENT&SECURITIES CO., LTD",016420
00505569,아시아퍼시픽4호선박투자회사,"ASIA PACIFIC NO.4 SHIP INVESTMENT CO.,LTD.",081210
00160612,한화화인케미칼,"HANWHA FINE CHEMICAL CO., LTD.",025850
00659435,정다운,"JUNGDAWN Co.,Ltd.",224090
00232317,지오엠씨,"GEOMC CO., LTD.",033030
00130860,에듀패스,EDU-PASS INC.,031950
00113632,아이디에이치,"IDH CO., LTD.",026230
00837680,거북선7호선박투자회사,Turtleship No. 7 Ship Investment Company,134000
00130815,서울상호저축은행,Seoul Mutual Savings Bank,016560
00248123,와이즈파워,"WISEPOWER CO.,LTD",040670
00788807,코크렙제15호기업구조조정부동산투자회사,KOCREF15CR-REIT,121550
00270432,티브로드한빛방송,"TBROAD HANVIT BROADCASTING CO., LTD.",043890
00648697,거북선3호선박투자회사,Turtleship No.3 Ship Investment Company,102000
00165529,동성하이켐,"DONGSUNG HIGHCHEM CO., LTD",013450
00419989,클루넷,"CLUNET CO.,LTD",067130
00637114,코리아퍼시픽07호선박투자회사,"Korea Pacific No.07 Ship Investment Co., Ltd.",099210
00361114,씨유전자,"CU ELECTRONICS CO., LTD.",056340
00125628,삼목강업,"SAMMOK KANG UP CO.,LTD.",158380
00265227,에스비엠,"SBM CO.,LTD.",037630
00267669,솔빛미디어,"Solvit Media, Inc",044440
00693800,에프지엔개발전문자기관리부동산투자회사,"FGN Real Estate Development Investment Trust co.,Ltd.",119250
00991012,판타지오,"Fantagio Co., LTD",187770
00164469,현대하이스코,HYUNDAI HYSCO,010520
00586652,거북선1호선박투자회사,Turtleship No.1 Ship Investment Company,092970
00345657,코아에스앤아이,"Core S&I Co., Ltd",052350
00810531,자원메디칼,"JAWON MEDICAL CO., LTD.",181980
00127370,삼우이엠씨,SamwooEMC,026250
00261124,어울림정보기술,"Oullim Information Technology, Inc",038320
00244729,티브로드도봉강북방송,"Tbroad DobongGangbuk Broadcasting Co.,Ltd.",035210
00138127,티이씨앤코,"TEC&Co Co.,Ltd",008900
00156521,화인자산관리,Fine Asset Management Corporation,010460
00120377,로케트전기,"ROCKET ELECTRIC CO.,LTD",000420
00136970,신일건업,"SHINIL ENGINEERING CO.,LTD",014350
00148328,제일모직,CHEIL INDUSTRIES INC,001300
00842479,퓨얼셀파워,"Fuelcellpower Co.,Ltd.",139170
