corp_name,corp_code,stock_code,ceo_name,industry_code,established_date,ir_url,corp_reg_number,business_no
주식회사 에프앤에프,01568413,383220,김창수,14111,20210503,,1101117875440,1538102451
케이비발해인프라투융자회사,01880801,415640,법인이사 케이비자산운용(주),642,20060124,,1101113386954,1078673939
(주)INVENI,00105101,015360,"구본혁, 이창우",715,19810305,,1101110290778,2188106851
동국씨엠 주식회사,01765256,460850,박상훈,24122,20230601,,1101118651659,8978702489
주식회사 엠앤씨솔루션,01519790,484870,김병근,292,20201201,,1942110326208,2638101759
에스비성보(주),00132725,003080,윤정선,2032,19610106,,1147110000402,1288100011
(주)유니켐,00137207,011330,김진환,15110,19760427,,1301110011807,1348103920
(주)인스코비,00122825,006490,유인수,612,19700727,https://inscobee.irpage.co.kr/,1101110018592,1198103654
(주)선앤엘,00132211,002820,이윤규,16211,19591017,,1101110027593,1098133530
미창석유공업(주),00122056,003650,유재순,19221,19621227,,1801110000537,6018108046
(주)에이프로젠,00152385,007460,김재섭,259,19711115,,1101110122731,2198100146
한화엔진(주),00361008,082740,유문기,29111,19991230,,1942110038423,6098140128
다올투자증권(주),00156859,030210,"이병철, 황준호 (각자 대표이사)",66121,19810501,,1101110878706,1168100319
(주)플레이그램,00103130,009810,"김재욱, 선영",467,19740417,,1101110286412,1068130984
무림피앤피(주),00119007,009580,이도균,171,19740116,,1812110002548,6108102842
한국제지(주),00133706,027970,안재호,171,19840716,,1741110000618,5148103863
페이퍼코리아(주),00134723,001020,권육상,171,19530606,,2111110000042,4018100013
무림페이퍼(주),00136086,009200,이도균,171,19730829,,1911110000782,6138100289
(주)STX 그린 로지스,01784394,465770,유재호,501,20230901,,1801111522465,4238602883
엔피씨(주),00108038,004250,"나창엽,양창영,심일식(각자 대표이사)",22232,19650529,,1101110212699,1348126904
대한해운(주),00113535,005880,한수한,50112,19681212,,1101110008212,1018124624
(주)두산,00117212,000150,"박정원, 김민철, 유승우",64992,19331208,,1101110013774,1078100237
(주)동양,00117337,001520,박주형,23322,19550825,www.tongyanginc.co.kr,1101110005333,1168134352
(주)삼익악기,00127857,002450,"김종섭, 김민수",33201,19730104,,1201110001818,1228101045
고려산업(주),00102751,002140,"전장열, 김영교(각자 대표이사)",105,19570724,,1801110001494,6048100024
현대건설(주),00164478,000720,이한우,41221,19500110,https://www.hdec.kr/kr/invest/irpt.aspx,1101110007909,1018116293
대림바스 주식회사,00109754,005750,강태식,23222,19680920,,1942110000018,6098100261
(주)오뚜기,00141529,007310,"함영준, 황성만",108,19710603,,1341110002258,1388103238
(주)온타이드,00168331,005320,우혁주,46413,19671208,,1101110084767,2188106865
(주)아이엠금융지주,00878915,139130,황병우,64992,20110517,,1701110429523,5028610560
(주)테이팩스,00256955,055490,허지행,2229,19940801,,1201110095499,1398115931
삼진제약(주),00128412,005500,"최지현, 조규석",212,19680418,,1101110088652,1058100769
(주)동서,00144395,026960,윤세철,4632,19750516,,1101110180888,1058138440
(주)풍산홀딩스,00155531,005810,박우동,64992,19681022,,1201110018110,1228102549
현대해상화재보험(주),00164973,001450,이석현,65121,19550305,,1101110035893,1028132035
(주)이월드,00540605,084680,"방병순, 민혜정",331,20050705,,1701110290867,5038168487
(주)노루페인트,00583442,090350,이수민,20411,20060602,,1341110142575,1238606034
