rcept_no,corp_cls,corp_code,corp_name,nmpr,jan_avrg_mendng_am,mendng_totamt,rm,stlm_dt
20250320001394,Y,00249247,YG PLUS,7,"226,000,000","1,585,000,000",　-,2024-12-31
20250320001103,Y,00159616,두산에너빌리티,8,"1,253,000,000","10,024,000,000",-,2024-12-31
20250318001112,Y,00139764,에넥스,5,"218,352,000","1,091,761,000",-,2024-12-31
20250310000865,Y,00140955,한솔케미칼,6,"336,000,000","2,015,000,000",-,2024-12-31
20250317000938,Y,00105606,금호에이치티,5,"143,000,000","715,000,000",-,2024-12-31
20250318000783,Y,00133618,세기상사,6,"26,413,000","158,476,000",-,2024-12-31
20250318000667,Y,00133812,세방,7,"422,538,927","2,957,772,490",-,2024-12-31
20250319000744,Y,00123772,부국증권,7,"211,000,000","1,685,000,000",-,2024-12-31
20250312000675,Y,00158112,한국수출포장공업,5,"228,000,000","1,140,000,000",-,2024-12-31
20250715000144,Y,00163196,한일철강,5,"279,635,000","1,398,177,000",-,2024-12-31
20250318001422,Y,00108135,녹십자홀딩스,5,"603,000,000","3,013,000,000",-,2024-12-31
20250312000891,Y,00109718,사조대림,8,"169,007,994","1,352,063,955",-,2024-12-31
20250318001036,Y,00100939,강남제비스코,7,"102,616,000","718,312,000",-,2024-12-31
20250320000853,Y,00423690,삼성출판사,7,"232,000,000","1,627,000,000",-,2024-12-31
20250319000355,Y,00152039,SG글로벌,5,"75,983,000","379,916,000",-,2024-12-31
20250313001218,Y,00587466,KPX홀딩스,5,"335,002,000","1,675,011,000",-,2024-12-31
20250318000559,Y,00141413,영화금속,5,"154,873,000","774,369,000",-,2024-12-31
20250320001398,Y,00115287,동방,8,"242,000,000","1,934,000,000",-,2024-12-31
20250317000315,Y,01128613,화승엔터프라이즈,7,"92,000,000","641,000,000",-,2024-12-31
20250715000164,Y,00796994,조선선재,4,"158,432,000","633,729,000",-,2024-12-31
20250314000954,Y,00353878,다스코,6,"339,000,000","2,037,000,000",-,2024-12-31
20250318001121,Y,00760971,크래프톤,7,"961,000,000","6,729,000,000",-,2024-12-31
